"","index"
"1",2058.199951
"2",2020.579956
"3",2002.609985
"4",2025.900024
"5",2062.139893
"6",2044.810059
"7",2028.26001
"8",2023.030029
"9",2011.27002
"10",1992.670044
"11",2019.420044
"12",2022.550049
"13",2032.119995
"14",2063.149902
"15",2051.820068
"16",2057.090088
"17",2029.550049
"18",2002.160034
"19",2021.25
"20",1994.98999
"21",2020.849976
"22",2050.030029
"23",2041.51001
"24",2062.52002
"25",2055.469971
"26",2046.73999
"27",2068.590088
"28",2068.530029
"29",2088.47998
"30",2096.98999
"31",2100.340088
"32",2099.679932
"33",2097.449951
"34",2110.300049
"35",2109.659912
"36",2115.47998
"37",2113.860107
"38",2110.73999
"39",2104.5
"40",2117.389893
"41",2107.780029
"42",2098.530029
"43",2101.040039
"44",2071.26001
"45",2079.429932
"46",2044.160034
"47",2040.23999
"48",2065.949951
"49",2053.399902
"50",2081.189941
"51",2074.280029
"52",2099.5
"53",2089.27002
"54",2108.100098
"55",2104.419922
"56",2091.5
"57",2061.050049
"58",2056.149902
"59",2061.02002
"60",2086.23999
"61",2067.889893
"62",2059.689941
"63",2066.959961
"64",2080.620117
"65",2076.330078
"66",2081.899902
"67",2091.179932
"68",2102.060059
"69",2092.429932
"70",2095.840088
"71",2106.629883
"72",2104.98999
"73",2081.179932
"74",2100.399902
"75",2097.290039
"76",2107.959961
"77",2112.929932
"78",2117.689941
"79",2108.919922
"80",2114.76001
"81",2106.850098
"82",2085.51001
"83",2108.290039
"84",2114.48999
"85",2089.459961
"86",2080.149902
"87",2088
"88",2116.100098
"89",2105.330078
"90",2099.120117
"91",2098.47998
"92",2121.100098
"93",2122.72998
"94",2129.199951
"95",2127.830078
"96",2125.850098
"97",2130.820068
"98",2126.060059
"99",2104.199951
"100",2123.47998
"101",2120.790039
"102",2107.389893
"103",2111.72998
"104",2109.600098
"105",2114.070068
"106",2095.840088
"107",2092.830078
"108",2079.280029
"109",2080.149902
"110",2105.199951
"111",2108.860107
"112",2094.110107
"113",2084.429932
"114",2096.290039
"115",2100.439941
"116",2121.23999
"117",2109.98999
"118",2122.850098
"119",2124.199951
"120",2108.580078
"121",2102.310059
"122",2101.48999
"123",2057.639893
"124",2063.110107
"125",2077.419922
"126",2076.780029
"127",2068.76001
"128",2081.340088
"129",2046.680054
"130",2051.310059
"131",2076.620117
"132",2099.600098
"133",2108.949951
"134",2107.399902
"135",2124.290039
"136",2126.639893
"137",2128.280029
"138",2119.209961
"139",2114.149902
"140",2102.149902
"141",2079.649902
"142",2067.639893
"143",2093.25
"144",2108.570068
"145",2108.629883
"146",2103.840088
"147",2098.040039
"148",2093.320068
"149",2099.840088
"150",2083.560059
"151",2077.570068
"152",2104.179932
"153",2084.070068
"154",2086.050049
"155",2083.389893
"156",2091.540039
"157",2102.439941
"158",2096.919922
"159",2079.610107
"160",2035.72998
"161",1970.890015
"162",1893.209961
"163",1867.609985
"164",1940.51001
"165",1987.660034
"166",1988.869995
"167",1972.180054
"168",1913.849976
"169",1948.859985
"170",1951.130005
"171",1921.219971
"172",1969.410034
"173",1942.040039
"174",1952.290039
"175",1961.050049
"176",1953.030029
"177",1978.089966
"178",1995.310059
"179",1990.199951
"180",1958.030029
"181",1966.969971
"182",1942.73999
"183",1938.76001
"184",1932.23999
"185",1931.339966
"186",1881.77002
"187",1884.089966
"188",1920.030029
"189",1923.819946
"190",1951.359985
"191",1987.050049
"192",1979.920044
"193",1995.829956
"194",2013.430054
"195",2014.890015
"196",2017.459961
"197",2003.689941
"198",1994.23999
"199",2023.859985
"200",2033.109985
"201",2033.660034
"202",2030.77002
"203",2018.939941
"204",2052.51001
"205",2075.149902
"206",2071.179932
"207",2065.889893
"208",2090.350098
"209",2089.409912
"210",2079.360107
"211",2104.050049
"212",2109.790039
"213",2102.310059
"214",2099.929932
"215",2099.199951
"216",2078.580078
"217",2081.719971
"218",2075
"219",2045.969971
"220",2023.040039
"221",2053.189941
"222",2050.439941
"223",2083.580078
"224",2081.23999
"225",2089.169922
"226",2086.590088
"227",2089.139893
"228",2088.870117
"229",2090.110107
"230",2080.409912
"231",2102.629883
"232",2079.51001
"233",2049.620117
"234",2091.689941
"235",2077.070068
"236",2063.590088
"237",2047.619995
"238",2052.22998
"239",2012.369995
"240",2021.939941
"241",2043.410034
"242",2073.070068
"243",2041.890015
"244",2005.550049
"245",2021.150024
"246",2038.969971
"247",2064.290039
"248",2060.98999
"249",2056.5
"250",2078.360107
"251",2063.360107
"252",2043.939941
"253",2012.660034
"254",2016.709961
"255",1990.26001
"256",1943.089966
"257",1922.030029
"258",1923.670044
"259",1938.680054
"260",1890.280029
"261",1921.839966
"262",1880.329956
"263",1881.329956
"264",1859.329956
"265",1868.98999
"266",1906.900024
"267",1877.079956
"268",1903.630005
"269",1882.949951
"270",1893.359985
"271",1940.23999
"272",1939.380005
"273",1903.030029
"274",1912.530029
"275",1915.449951
"276",1880.050049
"277",1853.439941
"278",1852.209961
"279",1851.859985
"280",1829.079956
"281",1864.780029
"282",1895.579956
"283",1926.819946
"284",1917.829956
"285",1917.780029
"286",1945.5
"287",1921.27002
"288",1929.800049
"289",1951.699951
"290",1948.050049
"291",1932.22998
"292",1978.349976
"293",1986.449951
"294",1993.400024
"295",1999.98999
"296",2001.76001
"297",1979.26001
"298",1989.26001
"299",1989.569946
"300",2022.189941
"301",2019.640015
"302",2015.930054
"303",2027.219971
"304",2040.589966
"305",2049.580078
"306",2051.600098
"307",2049.800049
"308",2036.709961
"309",2035.939941
"310",2037.050049
"311",2055.01001
